time,lane,type,duration
0.352,4,0,0
0.704,2,0,0
0.881,3,0,0
1.234,1,0,0
1.763,1,0,0
2.116,3,0,0
2.293,2,0,0
2.646,4,0,0
3.175,4,0,0
3.528,2,0,0
3.704,3,0,0
4.057,2,0,0
4.587,3,0,0
4.763,4,0,0
4.94,2,0,0
5.116,1,0,0
5.469,2,0,0
5.999,1,0,0
6.352,3,0,0
6.528,2,0,0
6.881,4,0,0
7.41,4,0,0
7.763,2,0,0
7.94,3,0,0
8.293,1,0,0
8.822,1,0,0
9.175,3,0,0
9.352,2,0,0
9.704,3,0,0
10.234,3,0,0
10.41,4,0,0
10.587,3,0,0
10.763,2,0,0
11.116,2,0,0
11.646,3,1,1.411
13.057,2,1,1.412
14.469,4,1,1.412
15.881,1,1,1.412
17.293,3,1,1.411
18.704,2,1,1.412
20.116,4,1,1.412
21.528,1,1,0.706
22.94,3,1,1.235
24.352,1,1,1.235
25.763,4,1,1.236
27.175,2,1,1.235
28.587,1,0,0
29.116,3,0,0
29.646,4,0,0
29.999,1,0,0
30.528,1,0,0
31.057,3,0,0
31.41,4,1,0.353
31.763,2,1,0.177
31.94,1,1,0.264
32.469,4,1,0.353
32.821,2,1,0.177
32.998,1,1,0.264
33.881,4,0,0
34.234,2,0,0
34.587,2,0,0
35.293,3,0,0
35.646,2,0,0
35.999,4,0,0
36.704,4,0,0
37.057,1,0,0
37.41,4,0,0
37.763,1,0,0
38.469,4,0,0
38.822,4,0,0
39.175,4,0,0
39.528,4,0,0
39.881,4,1,0.397
40.41,4,1,0.397
40.94,1,1,1.059
42.175,2,0,0
42.352,3,0,0
42.528,2,0,0
42.704,4,1,0.398
43.234,1,1,0.397
43.763,4,1,1.059
45.528,4,1,0.176
45.704,3,1,0.177
45.881,2,1,0.176
46.057,1,1,0.265
46.587,4,1,0.176
46.763,3,1,0.177
46.94,2,1,0.176
47.116,1,1,0.265
47.646,2,1,0.176
47.822,4,1,0.177
47.999,3,1,0.264
48.352,4,1,0.176
