time,lane,type,duration
1.2,1,1,1.2
2.8,4,1,1.2
4.4,2,1,1.2
6.0,4,1,1.2
7.6,1,1,1.2
9.2,3,1,1.2
10.8,1,1,1.2
12.4,4,0,0
14.0,2,0,0
15.6,4,0,0
17.2,1,0,0
18.8,3,0,0
20.4,4,0,0
22.0,1,0,0
23.6,3,0,0
25.2,1,0,0
27.0,3,0,0
27.2,3,0,0
27.6,4,0,0
27.9,1,0,0
28.2,4,0,0
28.6,1,0,0
28.8,1,0,0
29.2,2,0,0
29.5,3,0,0
29.8,4,0,0
30.2,2,0,0
30.4,2,0,0
30.8,4,0,0
31.1,1,0,0
31.4,4,0,0
31.8,1,0,0
32.0,1,0,0
32.4,2,0,0
32.7,3,0,0
33.0,4,0,0
33.2,1,0,0
33.6,1,0,0
34.0,1,0,0
34.4,1,0,0
34.8,3,0,0
35.2,3,0,0
35.6,3,0,0
36.0,3,0,0
36.4,2,0,0
36.8,2,0,0
37.2,2,0,0
37.6,2,0,0
38.0,1,0,0
39.6,1,0,0
40.0,4,0,0
40.4,1,0,0
40.8,4,0,0
41.2,1,0,0
41.6,4,0,0
42.0,1,0,0
42.4,4,0,0
42.8,2,0,0
43.2,3,0,0
43.6,2,0,0
44.0,3,0,0
44.4,2,0,0
44.8,3,0,0
45.2,2,0,0
45.6,3,0,0
46.0,1,0,0
46.4,4,0,0
46.8,1,0,0
47.2,4,0,0
47.6,2,0,0
48.0,3,0,0
48.4,2,0,0
48.8,3,0,0
49.2,1,0,0
49.6,4,0,0
50.0,2,0,0
50.4,3,0,0
50.8,1,0,0
51.2,1,0,0
51.6,4,0,0
52.0,4,0,0
52.4,1,0,0
52.8,3,0,0
53.2,1,0,0
53.6,3,0,0
54.0,1,0,0
54.4,3,0,0
54.8,1,0,0
55.2,3,0,0
55.6,2,0,0
56.0,4,0,0
56.4,2,0,0
56.8,4,0,0
57.2,2,0,0
57.6,4,0,0
58.0,2,0,0
58.4,4,0,0
58.8,1,0,0
59.2,3,0,0
59.6,1,0,0
60.0,3,0,0
60.4,2,0,0
60.8,4,0,0
61.2,2,0,0
61.6,4,0,0
62.0,1,0,0
62.4,3,0,0
62.8,2,0,0
63.2,4,0,0
63.6,2,0,0
64.0,2,0,0
64.4,3,0,0
64.8,3,0,0
65.2,1,1,1.2
66.8,4,1,1.2
68.4,2,1,1.2
70.0,4,1,1.2
71.6,1,1,1.2
73.2,3,1,1.2
74.8,2,1,1.2
76.4,4,0,0
78.0,3,0,0
79.6,2,0,0
81.2,4,0,0
82.8,1,0,0
84.4,2,0,0
86.0,3,0,0
87.6,4,0,0
89.2,1,0,0
90.8,1,0,0
91.2,1,0,0
91.6,1,0,0
92.0,1,0,0
92.4,3,0,0
92.8,3,0,0
93.2,3,0,0
93.6,3,0,0
94.0,1,0,0
94.4,1,0,0
94.8,1,0,0
95.2,1,0,0
95.6,4,0,0
96.0,4,0,0
96.4,4,0,0
96.8,4,0,0
97.2,2,0,0
97.6,2,0,0
98.0,2,0,0
98.4,2,0,0
98.8,3,0,0
99.2,3,0,0
99.6,3,0,0
100.0,3,0,0
100.4,1,0,0
100.8,1,0,0
101.2,1,0,0
101.6,1,0,0
102.0,4,0,0
102.4,4,0,0
102.8,4,0,0
103.2,4,0,0
103.6,2,0,0
104.0,3,0,0
104.4,2,0,0
104.8,3,0,0
105.2,1,0,0
105.6,4,0,0
106.0,1,0,0
106.4,4,0,0
106.8,2,0,0
107.2,4,0,0
107.6,2,0,0
108.0,4,0,0
108.4,1,0,0
108.8,3,0,0
109.2,1,0,0
109.6,3,0,0
110.0,1,0,0
110.4,1,0,0
110.8,3,0,0
111.2,3,0,0
111.6,2,0,0
112.0,2,0,0
112.4,3,0,0
112.8,3,0,0
113.2,4,1,1.2
114.8,2,0,0
116.4,3,0,0
118.0,1,0,0
118.4,4,0,0
118.8,3,0,0
119.2,2,0,0
119.6,1,0,0
120.0,1,0,0
120.4,1,0,0
120.8,1,0,0
121.2,3,0,0
121.6,3,0,0
122.0,2,0,0
122.2,4,0,0
122.4,2,0,0
122.8,1,0,0
123.2,2,0,0
123.6,2,0,0
124.0,2,0,0
124.4,4,0,0
124.8,4,0,0
125.2,1,0,0
125.6,2,0,0
125.8,4,0,0
126.0,2,0,0
126.4,1,0,0
126.6,4,0,0
126.8,1,0,0
127.2,2,0,0
127.4,3,0,0
127.6,2,0,0
128.0,2,0,0
128.4,4,0,0
128.8,4,0,0
129.2,1,0,0
129.6,2,0,0
130.0,3,0,0
130.4,4,0,0
130.8,1,0,0
131.2,2,0,0
131.6,3,0,0
132.0,4,0,0
132.2,1,0,0
132.4,4,0,0
132.8,3,0,0
133.2,2,0,0
133.6,1,0,0
134.0,2,0,0
134.4,3,0,0
134.8,4,0,0
135.0,1,0,0
135.2,3,0,0
135.6,2,0,0
136.0,2,0,0
136.4,3,0,0
136.8,3,0,0
137.2,1,0,0
137.6,1,0,0
138.0,4,0,0
138.4,4,0,0
138.6,2,0,0
138.8,3,0,0
139.2,1,0,0
139.4,4,0,0
139.6,2,0,0
139.8,2,0,0
140.0,3,0,0
140.4,4,0,0
142.0,1,0,0
