time,lane,type,duration
1.2,1,1,1.2
1.2,3,1,1.2
2.8,4,1,1.2
2.8,2,1,1.2
4.4,1,1,1.2
4.4,2,1,1.2
6.0,3,1,1.2
6.0,4,1,1.2
7.4,2,0,0
7.6,1,1,1.2
9.2,3,1,1.2
9.2,2,1,1.2
10.6,1,0,0
10.8,1,1,1.2
12.4,4,1,1.2
14.0,3,0,0
14.0,4,1,1.2
14.2,1,0,0
14.4,2,0,0
14.6,3,0,0
15.0,1,0,0
15.2,2,0,0
15.4,3,0,0
15.6,1,1,1.2
15.8,2,0,0
16.0,3,0,0
16.2,4,0,0
16.6,2,0,0
16.8,3,0,0
17.0,4,0,0
17.2,3,1,1.2
17.4,1,0,0
17.6,2,0,0
17.8,4,0,0
18.2,1,0,0
18.4,2,0,0
18.6,4,0,0
18.6,1,0,0
18.8,1,1,1.2
19.0,2,0,0
19.2,4,0,0
19.4,4,0,0
19.8,2,0,0
20.0,4,0,0
20.2,4,0,0
20.4,3,0,0
20.4,4,1,1.2
20.6,1,0,0
20.8,2,0,0
21.0,3,0,0
21.4,1,0,0
21.6,2,0,0
21.8,3,0,0
22.0,1,1,1.2
22.2,2,0,0
22.4,3,0,0
22.6,4,0,0
23.0,2,0,0
23.2,3,0,0
23.4,4,0,0
23.6,3,1,1.2
23.8,1,0,0
24.0,2,0,0
24.2,4,0,0
24.6,1,0,0
24.8,2,0,0
25.0,4,0,0
25.2,4,0,0
25.2,1,0,0
25.6,2,0,0
26.0,4,0,0
26.4,2,0,0
26.8,1,0,0
26.8,3,0,0
26.8,4,0,0
27.0,2,0,0
27.2,2,0,0
27.4,1,0,0
27.6,4,0,0
27.6,3,0,0
27.8,2,0,0
27.9,3,0,0
28.1,2,0,0
28.2,3,0,0
28.4,1,0,0
28.4,2,0,0
28.4,4,0,0
28.6,3,0,0
28.8,3,0,0
29.0,1,0,0
29.2,4,0,0
29.2,2,0,0
29.4,1,0,0
29.5,2,0,0
29.7,1,0,0
29.8,3,0,0
30.0,2,0,0
30.0,1,0,0
30.0,3,0,0
30.2,4,0,0
