time,lane,type,duration
14.109,1,0,0
14.893,1,0,0
15.677,1,0,0
16.461,1,0,0
17.246,1,0,0
18.03,1,0,0
18.814,1,0,0
19.599,1,0,0
20.383,2,0,0
21.167,2,0,0
21.952,2,0,0
22.736,2,0,0
23.52,2,0,0
24.305,2,0,0
25.089,2,0,0
25.873,2,0,0
26.658,1,0,0
27.442,2,0,0
28.226,3,0,0
29.01,4,0,0
29.795,1,0,0
30.579,2,0,0
31.363,3,0,0
32.148,4,0,0
32.932,1,0,0
33.716,3,0,0
34.501,2,0,0
35.285,4,0,0
36.069,1,0,0
36.854,3,0,0
37.638,2,0,0
38.422,4,0,0
39.207,1,0,0
39.207,4,0,0
39.991,1,0,0
40.775,1,0,0
40.775,4,0,0
41.56,1,0,0
42.344,1,0,0
42.344,4,0,0
43.128,1,0,0
43.912,1,0,0
43.912,4,0,0
44.697,1,0,0
45.481,1,0,0
45.481,2,0,0
46.265,1,0,0
47.05,1,0,0
47.05,2,0,0
47.834,1,0,0
48.618,1,0,0
48.618,2,0,0
49.403,1,0,0
50.187,1,0,0
50.187,2,0,0
50.971,1,0,0
51.756,1,0,0
52.148,2,0,0
52.54,3,0,0
52.932,4,0,0
53.324,1,0,0
53.716,2,0,0
54.109,3,0,0
54.501,4,0,0
54.893,1,0,0
55.285,2,0,0
55.677,3,0,0
56.069,4,0,0
56.461,1,0,0
56.854,2,0,0
57.246,3,0,0
57.638,4,0,0
58.03,1,0,0
58.422,3,0,0
58.814,2,0,0
59.207,4,0,0
59.599,1,0,0
59.991,3,0,0
60.383,2,0,0
60.775,4,0,0
61.167,1,0,0
61.56,3,0,0
61.952,2,0,0
62.344,4,0,0
62.736,1,0,0
63.128,3,0,0
63.52,2,0,0
63.912,4,0,0
64.305,4,0,0
64.305,1,0,0
65.089,2,0,0
65.089,3,0,0
65.873,1,0,0
65.873,4,0,0
66.658,2,0,0
66.658,3,0,0
67.442,4,0,0
67.442,3,0,0
68.226,2,0,0
68.226,1,0,0
69.01,4,0,0
69.01,3,0,0
69.795,1,0,0
69.795,2,0,0
70.579,1,0,0
70.579,3,0,0
71.363,4,0,0
71.363,2,0,0
72.148,1,0,0
72.148,3,0,0
72.932,4,0,0
72.932,2,0,0
73.716,1,0,0
74.501,1,0,0
74.501,2,0,0
75.285,1,0,0
75.285,2,0,0
75.285,3,0,0
76.069,1,0,0
76.069,2,0,0
76.069,3,0,0
76.069,4,0,0
76.854,1,0,0
76.854,2,0,0
77.246,1,0,0
77.246,2,0,0
77.638,1,0,0
77.638,2,0,0
78.03,1,0,0
78.03,2,0,0
78.422,1,0,0
78.422,2,0,0
78.814,1,0,0
78.814,2,0,0
79.207,1,0,0
79.207,2,0,0
79.599,1,0,0
79.599,2,0,0
79.991,4,0,0
79.991,3,0,0
80.383,4,0,0
80.383,3,0,0
80.775,4,0,0
80.775,3,0,0
81.167,3,0,0
81.167,4,0,0
81.56,3,0,0
81.56,4,0,0
81.952,3,0,0
81.952,4,0,0
82.344,3,0,0
82.344,4,0,0
82.736,4,0,0
82.736,3,0,0
83.128,3,0,0
83.128,2,0,0
83.52,3,0,0
83.52,2,0,0
83.912,2,0,0
83.912,3,0,0
84.305,3,0,0
84.305,2,0,0
84.697,2,0,0
84.697,3,0,0
85.089,2,0,0
85.089,3,0,0
85.481,2,0,0
85.481,3,0,0
85.873,3,0,0
85.873,2,0,0
86.265,4,0,0
86.265,1,0,0
86.658,4,0,0
86.658,1,0,0
87.05,4,0,0
87.05,1,0,0
87.442,4,0,0
87.442,1,0,0
87.834,4,0,0
87.834,1,0,0
88.226,4,0,0
88.226,1,0,0
88.618,4,0,0
88.618,1,0,0
89.01,4,0,0
89.01,1,0,0
89.403,1,0,0
89.599,4,0,0
89.795,1,0,0
89.991,4,0,0
90.187,1,0,0
90.383,4,0,0
90.579,1,0,0
90.775,4,0,0
90.971,1,0,0
91.167,4,0,0
91.363,1,0,0
91.56,4,0,0
91.756,1,0,0
91.952,4,0,0
92.148,1,0,0
92.344,4,0,0
92.54,2,0,0
92.736,3,0,0
92.932,2,0,0
93.128,3,0,0
93.324,2,0,0
93.52,3,0,0
93.716,2,0,0
93.912,3,0,0
94.109,2,0,0
94.305,3,0,0
94.501,2,0,0
94.697,3,0,0
94.893,2,0,0
95.089,3,0,0
95.285,2,0,0
95.481,3,0,0
95.677,1,0,0
95.873,3,0,0
96.069,1,0,0
96.265,3,0,0
96.461,1,0,0
96.658,3,0,0
96.854,1,0,0
97.05,3,0,0
97.246,1,0,0
97.442,3,0,0
97.638,1,0,0
97.834,3,0,0
98.03,1,0,0
98.226,3,0,0
98.422,1,0,0
98.618,3,0,0
98.814,2,0,0
99.01,4,0,0
99.207,2,0,0
99.403,4,0,0
99.599,2,0,0
99.795,4,0,0
99.991,2,0,0
100.187,4,0,0
100.383,2,0,0
100.579,4,0,0
100.775,2,0,0
100.971,4,0,0
101.167,2,0,0
101.363,4,0,0
101.56,2,0,0
101.756,4,0,0
105.089,1,0,0
105.873,2,0,0
106.658,3,0,0
107.442,4,0,0
108.226,4,0,0
109.01,3,0,0
109.795,2,0,0
110.579,1,0,0
111.363,1,0,0
112.148,3,0,0
112.932,2,0,0
113.716,4,0,0
114.501,4,0,0
115.285,2,0,0
116.069,3,0,0
116.854,1,0,0
117.638,1,0,0
117.638,2,0,0
118.422,4,0,0
118.422,3,0,0
119.207,1,0,0
