time,lane,type,duration
14.109,1,0,0
14.109,4,0,0
14.893,1,0,0
15.677,1,0,0
15.677,4,0,0
16.461,1,0,0
17.246,1,0,0
17.246,4,0,0
18.03,1,0,0
18.814,1,0,0
18.814,4,0,0
19.599,1,0,0
20.383,2,0,0
20.383,3,0,0
21.167,2,0,0
21.952,2,0,0
21.952,3,0,0
22.736,2,0,0
23.52,2,0,0
23.52,3,0,0
24.305,2,0,0
25.089,2,0,0
25.089,3,0,0
25.873,2,0,0
26.658,1,0,0
27.246,2,0,0
27.442,1,0,0
27.638,3,0,0
28.03,4,0,0
28.422,3,0,0
28.618,1,0,0
28.814,2,0,0
29.207,1,0,0
29.795,1,0,0
29.795,3,0,0
29.991,2,0,0
30.187,3,0,0
30.383,2,0,0
30.579,1,0,0
30.579,3,0,0
30.775,2,0,0
30.971,1,0,0
31.167,3,0,0
31.363,1,0,0
31.756,2,0,0
31.756,1,0,0
31.952,4,0,0
32.148,1,0,0
32.344,2,0,0
32.54,1,0,0
32.932,4,0,0
33.52,3,0,0
33.716,4,0,0
33.912,2,0,0
34.305,1,0,0
34.697,2,0,0
34.893,4,0,0
35.089,3,0,0
35.481,4,0,0
36.069,4,0,0
36.069,2,0,0
36.265,3,0,0
36.461,2,0,0
36.658,3,0,0
36.854,2,0,0
36.854,4,0,0
37.05,3,0,0
37.246,4,0,0
37.442,2,0,0
37.638,4,0,0
38.03,3,0,0
38.03,4,0,0
38.226,1,0,0
38.422,4,0,0
38.618,3,0,0
38.814,4,0,0
39.207,1,0,0
39.207,4,0,0
39.403,3,0,0
39.599,1,0,0
39.599,2,0,0
39.795,3,0,0
39.991,1,0,0
39.991,4,0,0
40.187,3,0,0
40.383,1,0,0
40.383,2,0,0
40.579,3,0,0
40.775,1,0,0
40.775,4,0,0
40.971,2,0,0
41.167,1,0,0
41.167,3,0,0
41.363,2,0,0
41.56,1,0,0
41.56,4,0,0
41.756,2,0,0
41.952,1,0,0
41.952,3,0,0
42.148,2,0,0
42.344,1,0,0
42.344,4,0,0
42.54,4,0,0
42.736,1,0,0
42.736,4,0,0
42.932,3,0,0
43.128,1,0,0
43.324,2,0,0
43.52,1,0,0
43.716,2,0,0
43.912,1,0,0
44.109,3,0,0
44.305,1,0,0
44.501,4,0,0
44.697,1,0,0
44.893,3,0,0
45.089,1,0,0
45.285,2,0,0
45.481,4,0,0
45.481,1,0,0
45.677,2,0,0
45.873,4,0,0
45.873,3,0,0
46.069,2,0,0
46.265,4,0,0
46.265,1,0,0
46.461,2,0,0
46.658,4,0,0
46.658,3,0,0
46.854,2,0,0
47.05,4,0,0
47.05,1,0,0
47.246,3,0,0
47.442,4,0,0
47.442,2,0,0
47.638,3,0,0
47.834,4,0,0
47.834,1,0,0
48.03,3,0,0
48.226,4,0,0
48.226,2,0,0
48.422,3,0,0
48.618,4,0,0
49.01,4,0,0
49.01,2,0,0
49.207,2,0,0
49.403,4,0,0
49.403,2,0,0
49.599,2,0,0
49.795,4,0,0
49.991,2,0,0
50.187,4,0,0
50.383,1,0,0
50.579,4,0,0
50.775,2,0,0
50.971,4,0,0
51.167,3,0,0
51.363,4,0,0
51.756,1,0,0
51.756,4,0,0
52.148,1,0,0
52.148,4,0,0
52.344,2,0,0
52.54,1,0,0
52.54,4,0,0
52.736,2,0,0
52.932,3,0,0
52.932,1,0,0
53.128,4,0,0
53.324,1,0,0
53.52,3,0,0
53.716,1,0,0
54.109,1,0,0
54.305,4,0,0
54.501,1,0,0
54.501,2,0,0
54.893,1,0,0
54.893,2,0,0
55.285,1,0,0
55.481,4,0,0
55.677,1,0,0
55.677,2,0,0
55.873,3,0,0
56.069,1,0,0
56.069,4,0,0
56.265,3,0,0
56.461,1,0,0
56.658,2,0,0
56.854,1,0,0
57.05,2,0,0
57.246,1,0,0
57.442,3,0,0
57.638,4,0,0
57.638,1,0,0
57.834,3,0,0
58.03,4,0,0
58.03,1,0,0
58.422,4,0,0
58.422,1,0,0
58.618,3,0,0
58.814,1,0,0
58.814,4,0,0
59.01,2,0,0
59.207,4,0,0
59.207,3,0,0
59.403,2,0,0
59.599,4,0,0
59.795,1,0,0
59.991,4,0,0
60.383,4,0,0
60.579,3,0,0
60.775,4,0,0
60.775,2,0,0
61.167,4,0,0
61.167,3,0,0
61.56,4,0,0
61.56,3,0,0
61.756,1,0,0
61.952,4,0,0
61.952,3,0,0
62.148,2,0,0
62.344,4,0,0
